locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Courcelles,Residence,,1100,rent,2,100,0,0,0,1,23,0,0,https://immovlan.be/en/detail/residence/for-rent/6180/courcelles/vbd90954
Ukkel,Ground,,1390,for,2,100,0,0,0,1,6,1,45,https://immovlan.be/en/detail/ground-floor/for-rent/1180/ukkel/vbd91032
Péruwelz,Apartment,,650,rent,1,67,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/7600/peruwelz/vbd91001
Ukkel,Residence,,4900,rent,5,359,0,0,0,1,53,1,110,https://immovlan.be/en/detail/residence/for-rent/1180/ukkel/vbd91017
Ukkel,Apartment,,1600,rent,2,95,0,0,0,1,27,0,0,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/vbd90942
Mont-Saint-Guibert,Apartment,,950,rent,2,83,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/1435/mont-saint-guibert/vbd91029
Ukkel,Studio,,840,rent,1,28,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/1180/ukkel/vbd90991
Brussels,Apartment,,1250,rent,2,72,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd91021
Elsene,Apartment,,2100,rent,2,141,0,0,0,1,20,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd91019
Elsene,Residence,,4900,rent,5,359,0,0,0,1,53,1,110,https://immovlan.be/en/detail/residence/for-rent/1050/elsene/vbd91018
Mechelen,Duplex,,1345,rent,2,143,0,0,0,1,40,0,0,https://immovlan.be/en/detail/duplex/for-rent/2800/mechelen/rbv35095
Antwerp,Apartment,,950,rent,1,65,0,0,0,1,6,0,0,https://immovlan.be/en/detail/apartment/for-rent/2060/antwerp/rbv35080
Farciennes,Residence,,1050,rent,3,330,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/6240/farciennes/vbd91044
Oudergem,Studio,,820,rent,1,38,0,0,0,1,6,0,0,https://immovlan.be/en/detail/studio/for-rent/1160/oudergem/vbd91016
Sint-Jans-Molenbeek,Apartment,,1350,rent,2,102,0,0,0,1,7,0,0,https://immovlan.be/en/detail/apartment/for-rent/1080/sint-jans-molenbeek/vbd91062
Mons,Apartment,,1050,rent,2,113,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/7000/mons/vbd91037
