locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Brussels,Apartment,,1450,rent,2,100,0,0,0,1,9,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbv34515
Leuven,Apartment,,1440,rent,3,141,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/3000/leuven/rbv34512
Elsene,Apartment,,3400,rent,4,205,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90657
Ukkel,Residence,,3200,rent,5,262,0,0,0,1,26,1,35,https://immovlan.be/en/detail/residence/for-rent/1180/ukkel/vbd90660
Perwez,Residence,,1500,rent,4,155,0,0,0,1,28,1,,https://immovlan.be/en/detail/residence/for-rent/1360/perwez/vbd90661
Antwerp,Apartment,,985,rent,2,87,0,0,1,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/rwc41896
Etterbeek,Apartment,,1550,rent,1,71,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90682
Elsene,Duplex,,5450,rent,3,356,1,1,0,1,80,0,0,https://immovlan.be/en/detail/duplex/for-rent/1050/elsene/vbd90659
Namur,Apartment,,950,rent,2,83,0,0,0,1,9,0,0,https://immovlan.be/en/detail/apartment/for-rent/5000/namur/vbd90614
Elsene,Studio,,950,rent,0,50,0,0,0,1,1,0,0,https://immovlan.be/en/detail/studio/for-rent/1050/elsene/vbd90652
Erpent,Studio,,730,rent,1,29,0,0,0,1,4,0,0,https://immovlan.be/en/detail/studio/for-rent/5101/erpent/vbd90615
Sint-Lambrechts-Woluwe,Apartment,,1000,rent,1,81,0,0,0,1,12,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90631
Brussels,Apartment,,1600,rent,3,97,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90639
Sint-Lambrechts-Woluwe,Apartment,,1650,rent,2,80,1,1,0,1,15,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90650
Schaarbeek,Apartment,,1250,rent,1,60,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90616
Namur,Ground,,900,for,2,91,0,0,0,0,0,0,0,https://immovlan.be/en/detail/ground-floor/for-rent/5000/namur/vbd90634
Schaarbeek,Studio,,895,rent,0,35,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/1030/schaarbeek/vbd90655
Liege,Studio,,620,rent,0,47,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/4000/liege/vbd90601
Arquennes,Residence,,900,rent,2,0,0,0,0,0,0,1,,https://immovlan.be/en/detail/residence/for-rent/7181/arquennes/vbd90607
